N,log2N,grover_iters,success,success_statevec,classical_expected,ratio
16,4,3,0.9613189697265625,0.9613189697265625,8.5,2.8333333333333335
32,5,4,0.9991823155432941,0.9991823155432936,16.5,4.125
64,6,6,0.996585680786799,0.996585680786799,32.5,5.416666666666667
128,7,8,0.9956198656943223,0.9956198656943223,64.5,8.0625
256,8,12,0.9999470421032736,0.9999470421032738,128.5,10.708333333333334
512,9,17,0.9994480261540108,0.9994480261540137,256.5,15.088235294117647
1024,10,25,0.9994612447444079,0.9994612447444077,512.5,20.5
2048,11,35,0.9999968477766256,0.9999968477766269,1024.5,29.271428571428572
4096,12,50,0.9999453461091142,0.9999453461091224,2048.5,40.97
8192,13,71,0.9999157752494188,0.9999157752494214,4096.5,57.69718309859155
16384,14,100,0.9999997811142307,0.9999997811142232,8192.5,81.925
32768,15,142,0.9999868295189768,nan,16384.5,115.38380281690141
65536,16,201,0.9999882596461666,nan,32768.5,163.0273631840796
131072,17,284,0.9999992587165557,nan,65536.5,230.76232394366198
262144,18,402,0.9999978382258595,nan,131072.5,326.05099502487565
524288,19,568,0.9999997279450149,nan,262144.5,461.5220070422535
1048576,20,804,0.999999756965361,nan,524288.5,652.1001243781094
