W,log2W,m,classical_binsearch,quantum_best_known,quantum_lower_bound,ratio_classical_over_best_quantum
256,8,4,32,10.24,0.16548488801203806,3.125
256,8,16,128,40.96,0.6619395520481522,3.125
256,8,64,512,163.84,2.647758208192609,3.125
256,8,256,2048,655.36,10.591032832770436,3.125
256,8,1024,8192,2621.44,42.364131331081744,3.125
65536,16,4,64,20.48,0.36737867095358673,3.125
65536,16,16,256,81.92,1.469514683814347,3.125
65536,16,64,1024,327.68,5.878058735257388,3.125
65536,16,256,4096,1310.72,23.51223494102955,3.125
65536,16,1024,16384,5242.88,94.0489397641182,3.125
4294967296,32,4,128,40.96,0.7711662368366842,3.125
4294967296,32,16,512,163.84,3.0846649473467367,3.125
4294967296,32,64,2048,655.36,12.338659789386947,3.125
4294967296,32,256,8192,2621.44,49.35463915754779,3.125
4294967296,32,1024,32768,10485.76,197.41855663019115,3.125
4503599627370496,52,4,208,66.56,1.275900694190556,3.125
4503599627370496,52,16,832,266.24,5.103602776762224,3.125
4503599627370496,52,64,3328,1064.96,20.414411107048895,3.125
4503599627370496,52,256,13312,4259.84,81.65764442819558,3.125
4503599627370496,52,1024,53248,17039.36,326.6305777127823,3.125
