n,log2n,quantum_iters,success,classical_worst,classical_expected
4,2,1,1.0,4,2.5
8,3,2,0.9453124999999999,8,4.5
16,4,3,0.9613189697265625,16,8.5
32,5,4,0.9991823155432941,32,16.5
64,6,6,0.996585680786799,64,32.5
128,7,8,0.9956198656943223,128,64.5
256,8,12,0.9999470421032736,256,128.5
512,9,17,0.9994480261540108,512,256.5
1024,10,25,0.9994612447444079,1024,512.5
2048,11,35,0.9999968477766256,2048,1024.5
4096,12,50,0.9999453461091142,4096,2048.5
8192,13,71,0.9999157752494188,8192,4096.5
16384,14,100,0.9999997811142307,16384,8192.5
32768,15,142,0.9999868295189768,32768,16384.5
65536,16,201,0.9999882596461666,65536,32768.5
