exp,case,N,M,k_star,sqrt_N_over_M,p_success_qiskit,p_success_numpy,classical_expected,bbht_expected_queries,naive_k_star,naive_p_qiskit,naive_p_numpy,naive_classical_expected
Q6a,rule2 y-edge +1,256,8,4,5.656854249492381,0.9991823155433005,0.999182315543294,28.555555555555557,,,,,
Q6a,rule2 y-edge +2,256,16,3,4.0,0.9613189697265675,0.9613189697265625,15.117647058823529,,,,,
Q6a,rule2 y-edge +4,256,32,2,2.8284271247461903,0.9453125000000032,0.9453125,7.787878787878788,,,,,
Q6a,rule2 y-edge +8,256,64,1,2.0,1.0000000000000002,1.0,3.953846153846154,,,,,
Q6a,rule2 y-edge +12,256,80,1,1.7888543819998317,0.9570312500000004,0.95703125,3.1728395061728394,,,,,
Q6a-BBHT,rule2 y-edge +1 (M unknown),256,8,,5.656854249492381,,,28.555555555555557,10.505,,,,
Q6a-BBHT,rule2 y-edge +4 (M unknown),256,32,,2.8284271247461903,,,7.787878787878788,5.3355,,,,
Q6a-BBHT,rule2 y-edge +12 (M unknown),256,80,,1.7888543819998317,,,3.1728395061728394,3.061,,,,
Q6b,hidden corner K_1,256,1,2,2.8284271247461903,0.945312500000001,0.9453124999999998,4.5,,12,0.9999470421032962,0.9999470421032738,128.5
Q6b,hidden corner K_2,256,1,2,2.8284271247461903,0.9453125000000012,0.9453124999999998,4.5,,12,0.9999470421032964,0.9999470421032738,128.5
Q6b,hidden corner K_3,256,1,2,2.8284271247461903,0.945312500000001,0.9453124999999998,4.5,,12,0.9999470421032964,0.9999470421032738,128.5
Q6b,hidden corner K_4,256,1,2,2.8284271247461903,0.9453125000000012,0.9453124999999998,4.5,,12,0.9999470421032973,0.9999470421032738,128.5
Q6b,hidden corner K_5,256,1,2,2.8284271247461903,0.945312500000001,0.9453124999999998,4.5,,12,0.9999470421032967,0.9999470421032738,128.5
Q6b,hidden corner K_6,256,1,2,2.8284271247461903,0.9453125000000012,0.9453124999999998,4.5,,12,0.9999470421032962,0.9999470421032738,128.5
Q6b,hidden corner K_7,256,1,2,2.8284271247461903,0.945312500000001,0.9453124999999998,4.5,,12,0.9999470421032962,0.9999470421032738,128.5
Q6b,hidden corner K_8,256,1,2,2.8284271247461903,0.9453125000000012,0.9453124999999998,4.5,,12,0.9999470421032964,0.9999470421032738,128.5
